nome;descr;price
SAONE RICARICA ARO;1LT;1.69
SAPONE LIQUIDO FRESH & clen;;1.30
PROTEGGI SLIP LAURELLA;X20;1.10
ASSORBENTI GIORNO ;X14;1.50
ASSORBENTI NOTTE;X10;1.50
POSATE PLASTICA COLTELLI;;1.99
POSATE PLASTICA CUCCHIAI;;1.99
POSATE PLASTICA FORCHETTE;;1.99
PIATT PIANI;;2.55
PIATTI FONDI ;;2.55
TOVAGLIOLI;160 PEZZI;1.79
FAZZOLETTI 3 VELI;;1.00
PAMPERS SOLE E LUNA 3-6 KG;21 PANNOLINI;4.59
PAMPERS SOLE E LUNA 4-9 KG;20 PANNOLINI;4.59
PAMPERS SOLE E LUNA 7-18 KG;18 PANNOLINI;4.59
LACCA MALIZIA;;1.99
MUSSE SCHIUMA NIVEA;;2.49
ACQUA OSSIGENATA;;0.79
TOGLISMALTO;;1.05
SHAMPOO MANTOVANI;;1.50
BAGNOSCHIUMA MANTOVANI ;;1.25
SAPONE INTIMO FREH  CLEAN;;1.15
DEODORANTE SPRAY MANTOVANI ;;2.25
ACQUA MICELLARE GARNIER;;3.90
COTONE ;100 GR;0.99
DISCHETTI;X60;0.85
PANNOLINI BABYELL 5-10 KG;34 PANNOLINI;4.15
PANNOLINI BABYELL 15-22 KG;26 PANNOLINI;4.15
TAMPAX COMPACT;;3.99
SOLE PIATTI;;1.69
PAVIMENTI FELCE AZZURRA;;1.89
AMMORBIDENTE VERNEL;;2.39
MOZZARELLE DI BUFALA BOCCONCINI;500 GR;7.00
MOZZARELLA DI BUFALA PALLA;500 GR;7.00
CACIOCAVALLO;1KG;15.00
MOZZARELLA DI BUFALA 2 PALLE;500 GR;7.00
RICOTTAÊDI BUFALA;;2.50
